		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
28/06/16	10:30 a	17.3	17.3	16.9	93	16.1	0.0	W	0.00	1.3	W	17.3	17.7	17.7	---	757.9	0.00	0.0	81	3.48	95	0.7	0.15	0.8	0.022	0.000	22.4	63	15.1	22.6	11.50	1.1713	0.00	668	1	97.7	30
28/06/16	11:00 a	17.3	17.4	17.3	93	16.2	0.0	W	0.00	0.9	W	17.3	17.8	17.8	---	757.6	0.00	0.0	69	2.97	74	0.6	0.13	0.7	0.021	0.000	22.3	62	14.7	22.4	11.31	1.1718	0.05	676	1	98.8	30
28/06/16	11:30 a	17.5	17.5	17.3	92	16.2	0.0	NNW	0.00	1.8	NW	17.5	17.9	17.9	---	757.1	0.00	0.0	80	3.44	88	0.7	0.15	0.8	0.017	0.000	22.3	62	14.7	22.4	11.31	1.1710	0.00	672	1	98.2	30
28/06/16	12:00 p	17.9	17.9	17.5	91	16.5	0.0	N	0.00	1.3	W	17.9	18.4	18.4	---	756.9	0.00	0.0	112	4.82	141	1.0	0.21	1.3	0.008	0.000	22.4	62	14.8	22.6	11.30	1.1700	0.05	679	1	99.3	30
28/06/16	12:30 p	18.2	18.2	17.9	91	16.7	0.4	WSW	0.80	2.2	W	18.2	18.8	18.8	---	756.3	0.00	0.0	102	4.39	116	1.0	0.21	1.1	0.002	0.000	22.4	62	14.8	22.6	11.30	1.1691	0.00	660	1	96.5	30
28/06/16	1:00 p	18.4	18.4	18.2	90	16.7	0.9	W	1.61	2.7	W	18.4	18.9	18.9	---	756.0	0.00	0.0	106	4.56	113	1.0	0.21	1.0	0.000	0.001	22.4	62	14.8	22.6	11.30	1.1686	0.05	666	1	97.4	30
28/06/16	1:30 p	18.5	18.6	18.3	89	16.7	0.9	WSW	1.61	2.7	WSW	18.5	19.1	19.1	---	755.8	0.00	0.0	112	4.82	127	1.0	0.21	1.1	0.000	0.003	22.4	62	14.8	22.6	11.30	1.1683	0.00	670	1	98.0	30
28/06/16	2:00 p	18.3	18.6	18.3	89	16.5	1.3	WSW	2.41	3.6	SW	18.3	18.9	18.9	---	755.7	0.00	0.0	126	5.42	134	1.0	0.21	1.1	0.000	0.000	22.4	62	14.8	22.6	11.30	1.1681	0.08	674	1	98.5	30
28/06/16	2:30 p	18.3	18.4	18.3	90	16.7	1.3	WSW	2.41	3.1	SW	18.3	18.9	18.9	---	755.8	0.00	0.0	99	4.26	116	0.8	0.17	0.9	0.000	0.000	22.3	62	14.7	22.4	11.31	1.1689	0.00	667	1	97.5	30
28/06/16	3:00 p	17.9	18.3	17.9	91	16.5	1.3	WSW	2.41	3.1	WSW	17.9	18.4	18.4	---	756.0	0.00	0.0	76	3.27	95	0.5	0.11	0.7	0.008	0.000	22.4	62	14.8	22.6	11.30	1.1686	0.05	674	1	98.5	30
28/06/16	3:30 p	17.8	18.0	17.8	91	16.3	1.3	SW	2.41	3.1	WSW	17.8	18.2	18.2	---	756.1	0.00	0.0	51	2.19	67	0.0	0.00	0.5	0.012	0.000	22.3	62	14.7	22.4	11.31	1.1693	0.00	683	1	99.9	30
28/06/16	4:00 p	17.6	17.8	17.6	92	16.2	1.3	SW	2.41	2.7	SSW	17.6	18.0	18.0	---	756.2	0.00	0.0	35	1.51	44	0.0	0.00	0.0	0.016	0.000	22.2	62	14.6	22.3	11.31	1.1701	0.03	674	1	98.5	30
28/06/16	4:30 p	17.3	17.6	17.3	93	16.2	0.4	SW	0.80	2.2	SSW	17.3	17.8	17.8	---	756.2	0.00	0.0	28	1.20	33	0.0	0.00	0.0	0.021	0.000	22.2	62	14.6	22.3	11.31	1.1701	0.00	691	1	100.0	30
28/06/16	5:00 p	17.2	17.3	17.2	93	16.0	0.0	SSW	0.00	0.9	SSW	17.2	17.6	17.6	---	756.2	0.00	0.0	15	0.65	21	0.0	0.00	0.0	0.024	0.000	22.2	62	14.6	22.3	11.31	1.1701	0.03	676	1	98.8	30
28/06/16	5:30 p	17.1	17.2	17.1	94	16.1	0.0	SSW	0.00	0.4	SSW	17.1	17.4	17.4	---	756.2	0.00	0.0	8	0.34	11	0.0	0.00	0.0	0.027	0.000	22.1	62	14.5	22.1	11.31	1.1707	0.00	674	1	98.5	30
28/06/16	6:00 p	17.0	17.1	16.9	95	16.2	0.0	---	0.00	0.0	---	17.0	17.4	17.4	---	756.4	0.00	0.0	0	0.00	5	0.0	0.00	0.0	0.028	0.000	22.1	62	14.5	22.1	11.31	1.1710	0.00	667	1	97.5	30
28/06/16	6:30 p	16.9	17.1	16.9	96	16.3	0.0	SW	0.00	1.3	SW	16.9	17.4	17.4	---	756.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	22.1	62	14.5	22.1	11.31	1.1713	0.00	680	1	99.4	30
28/06/16	7:00 p	16.8	16.9	16.8	96	16.1	0.0	SW	0.00	1.3	SW	16.8	17.2	17.2	---	756.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.032	0.000	22.1	63	14.7	22.1	11.52	1.1716	0.00	690	1	100.0	30
28/06/16	7:30 p	16.7	16.8	16.7	96	16.1	0.0	SW	0.00	0.9	SW	16.7	17.1	17.1	---	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	21.9	63	14.6	21.9	11.52	1.1723	0.00	699	1	100.0	30
28/06/16	8:00 p	16.7	16.8	16.7	97	16.2	0.0	SW	0.00	0.9	SW	16.7	17.1	17.1	---	757.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.035	0.000	21.9	63	14.6	21.9	11.52	1.1725	0.00	689	1	100.0	30
28/06/16	8:30 p	16.7	16.7	16.6	97	16.2	0.0	SW	0.00	0.4	SW	16.7	17.1	17.1	---	757.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.035	0.000	21.8	63	14.5	21.8	11.52	1.1735	0.00	698	1	100.0	30
28/06/16	9:00 p	16.7	16.7	16.7	97	16.2	0.0	---	0.00	0.0	---	16.7	17.2	17.2	---	757.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	21.8	63	14.5	21.8	11.52	1.1737	0.00	697	1	100.0	30
28/06/16	9:30 p	16.7	16.8	16.7	97	16.2	0.0	---	0.00	0.0	---	16.7	17.2	17.2	---	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	21.8	63	14.5	21.8	11.52	1.1738	0.00	701	1	100.0	30
28/06/16	10:00 p	16.8	16.8	16.7	97	16.3	0.0	---	0.00	0.0	---	16.8	17.2	17.2	---	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.032	0.000	21.8	63	14.5	21.8	11.52	1.1742	0.00	699	1	100.0	30
28/06/16	10:30 p	16.8	16.8	16.8	97	16.3	0.0	SW	0.00	0.4	SW	16.8	17.2	17.2	---	757.7	0.25	0.0	0	0.00	0	0.0	0.00	0.0	0.032	0.000	21.8	63	14.4	21.7	11.53	1.1745	0.00	697	1	100.0	30
28/06/16	11:00 p	16.7	16.8	16.7	97	16.2	0.0	---	0.00	0.0	---	16.7	17.2	17.2	---	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	21.8	64	14.7	21.7	11.65	1.1743	0.00	681	1	99.6	30
28/06/16	11:30 p	16.6	16.7	16.6	97	16.1	0.0	SW	0.00	0.4	SW	16.6	17.0	17.0	---	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.036	0.000	21.8	64	14.7	21.7	11.65	1.1741	0.00	694	1	100.0	30
29/06/16	12:00 a	16.6	16.6	16.6	97	16.1	0.0	SW	0.00	0.4	SW	16.6	17.0	17.0	---	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.036	0.000	21.8	64	14.7	21.7	11.65	1.1739	0.00	684	1	100.0	30
29/06/16	12:30 a	16.6	16.7	16.6	97	16.1	0.0	SW	0.00	0.4	SW	16.6	17.0	17.0	---	757.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.036	0.000	21.7	64	14.6	21.6	11.65	1.1745	0.00	696	1	100.0	30
29/06/16	1:00 a	16.5	16.6	16.5	97	16.0	0.0	SW	0.00	0.4	SSE	16.5	16.9	16.9	---	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	21.7	64	14.6	21.6	11.65	1.1744	0.00	695	1	100.0	30
29/06/16	1:30 a	16.5	16.5	16.4	97	16.0	0.0	SW	0.00	0.4	SW	16.5	16.9	16.9	---	757.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	21.7	64	14.6	21.6	11.65	1.1741	0.00	697	1	100.0	30
29/06/16	2:00 a	16.5	16.6	16.5	97	16.0	0.0	---	0.00	0.0	---	16.5	16.9	16.9	---	757.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	21.7	64	14.6	21.6	11.65	1.1738	0.00	696	1	100.0	30
29/06/16	2:30 a	16.6	16.6	16.5	96	16.0	0.0	SW	0.00	0.4	SW	16.6	17.0	17.0	---	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.036	0.000	21.7	64	14.6	21.6	11.65	1.1735	0.00	701	1	100.0	30
29/06/16	3:00 a	16.6	16.6	16.5	96	15.9	0.0	---	0.00	0.0	---	16.6	16.9	16.9	---	756.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.037	0.000	21.6	64	14.5	21.4	11.65	1.1736	0.00	692	1	100.0	30
29/06/16	3:30 a	16.7	16.7	16.6	96	16.0	0.0	---	0.00	0.0	---	16.7	17.1	17.1	---	756.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.035	0.000	21.6	64	14.5	21.4	11.65	1.1736	0.00	697	1	100.0	30
29/06/16	4:00 a	16.7	16.7	16.7	96	16.1	0.0	---	0.00	0.0	---	16.7	17.1	17.1	---	756.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	21.6	64	14.5	21.4	11.65	1.1737	0.00	696	1	100.0	30
29/06/16	4:30 a	16.8	16.8	16.7	96	16.1	0.0	---	0.00	0.0	---	16.8	17.2	17.2	---	756.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.032	0.000	21.6	64	14.5	21.4	11.65	1.1738	0.00	699	1	100.0	30
29/06/16	5:00 a	16.9	16.9	16.7	96	16.2	0.0	---	0.00	0.0	---	16.9	17.3	17.3	---	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.030	0.000	21.6	64	14.5	21.4	11.65	1.1740	0.00	693	1	100.0	30
29/06/16	5:30 a	16.9	16.9	16.8	96	16.2	0.0	---	0.00	0.0	---	16.9	17.3	17.3	---	757.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.030	0.000	21.4	64	14.3	21.3	11.65	1.1748	0.00	701	1	100.0	30
29/06/16	6:00 a	16.9	16.9	16.8	96	16.2	0.0	---	0.00	0.0	---	16.9	17.3	17.3	---	757.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.030	0.000	21.4	64	14.3	21.3	11.65	1.1749	0.00	697	1	100.0	30
29/06/16	6:30 a	16.9	16.9	16.8	96	16.2	0.0	---	0.00	0.0	---	16.9	17.3	17.3	---	757.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.030	0.000	21.4	64	14.3	21.3	11.65	1.1752	0.00	697	1	100.0	30
29/06/16	7:00 a	16.8	16.9	16.8	96	16.1	0.0	---	0.00	0.0	---	16.8	17.2	17.2	---	757.5	0.00	0.0	1	0.04	5	0.0	0.00	0.0	0.032	0.000	21.4	64	14.3	21.3	11.65	1.1755	0.00	696	1	100.0	30
29/06/16	7:30 a	16.8	16.8	16.7	96	16.1	0.0	---	0.00	0.0	---	16.8	17.2	17.2	---	757.8	0.00	0.0	10	0.43	12	0.0	0.00	0.0	0.032	0.000	21.4	64	14.3	21.3	11.65	1.1760	0.00	663	1	96.9	30
29/06/16	8:00 a	16.9	16.9	16.8	95	16.1	0.0	---	0.00	0.0	---	16.9	17.3	17.3	---	758.1	0.00	0.0	17	0.73	21	0.0	0.00	0.0	0.030	0.000	21.4	64	14.3	21.3	11.65	1.1765	0.00	685	1	100.0	30
29/06/16	8:30 a	16.9	16.9	16.8	95	16.1	0.0	SSW	0.00	0.9	SSW	16.9	17.3	17.3	---	758.2	0.00	0.0	24	1.03	28	0.0	0.00	0.0	0.030	0.000	21.4	64	14.3	21.3	11.65	1.1767	0.00	686	1	100.0	30
29/06/16	9:00 a	16.9	16.9	16.9	95	16.1	0.0	SSW	0.00	0.4	SSW	16.9	17.4	17.4	---	758.3	0.00	0.0	41	1.76	56	0.0	0.00	0.0	0.029	0.000	21.6	64	14.5	21.4	11.65	1.1762	0.03	691	1	100.0	30
29/06/16	9:30 a	17.1	17.2	16.9	95	16.3	0.0	SSW	0.00	0.9	SSW	17.1	17.6	17.6	---	758.3	0.00	0.0	68	2.92	74	0.3	0.06	0.5	0.025	0.000	21.7	64	14.6	21.6	11.65	1.1757	0.00	695	1	100.0	30
29/06/16	10:00 a	17.1	17.2	17.0	95	16.3	0.0	SSW	0.00	0.4	SSW	17.1	17.6	17.6	---	758.2	0.00	0.0	88	3.78	100	0.7	0.15	0.8	0.025	0.000	21.7	64	14.6	21.6	11.65	1.1755	0.05	692	1	100.0	30
29/06/16	10:30 a	17.4	17.4	17.1	94	16.4	0.0	WSW	0.00	1.3	WSW	17.4	17.8	17.8	---	758.0	0.00	0.0	106	4.56	113	0.9	0.19	0.9	0.020	0.000	21.8	63	14.4	21.7	11.53	1.1749	0.00	697	1	100.0	30
29/06/16	11:00 a	17.6	17.7	17.4	94	16.6	0.4	SW	0.80	2.2	SSW	17.6	18.1	18.1	---	757.8	0.00	0.0	95	4.09	114	0.8	0.17	0.9	0.016	0.000	21.8	63	14.5	21.8	11.52	1.1743	0.05	688	1	100.0	30
29/06/16	11:30 a	17.3	17.6	17.3	95	16.5	0.4	SW	0.80	2.2	WSW	17.3	17.8	17.8	---	757.6	0.00	0.0	57	2.45	62	0.4	0.09	0.6	0.021	0.000	21.8	64	14.7	21.7	11.65	1.1739	0.00	694	1	100.0	30
29/06/16	12:00 p	17.3	17.5	17.3	95	16.5	0.4	SW	0.80	2.2	SW	17.3	17.8	17.8	---	757.3	0.00	0.0	61	2.62	69	0.6	0.13	0.7	0.021	0.000	21.7	64	14.6	21.6	11.65	1.1741	0.03	689	1	100.0	30
29/06/16	12:30 p	17.5	17.5	17.3	95	16.7	0.4	WSW	0.80	1.8	WSW	17.5	18.0	18.0	---	756.9	0.00	0.0	75	3.23	86	0.7	0.15	0.9	0.017	0.000	21.7	64	14.6	21.6	11.65	1.1735	0.00	693	1	100.0	30
29/06/16	1:00 p	17.7	17.7	17.4	93	16.5	0.4	WSW	0.80	1.8	SW	17.7	18.2	18.2	---	756.6	0.00	0.0	96	4.13	114	0.9	0.19	1.1	0.014	0.000	21.8	64	14.7	21.7	11.65	1.1724	0.05	686	1	100.0	30
29/06/16	1:30 p	17.9	17.9	17.7	93	16.7	0.9	SW	1.61	2.7	SW	17.9	18.4	18.4	---	756.0	0.00	0.0	119	5.12	141	1.1	0.24	1.3	0.009	0.000	21.9	64	14.8	21.9	11.65	1.1706	0.00	689	1	100.0	30
29/06/16	2:00 p	17.8	17.9	17.7	92	16.5	1.3	SW	2.41	3.1	SSW	17.8	18.3	18.3	---	755.7	0.00	0.0	89	3.83	107	0.7	0.15	0.9	0.012	0.000	21.8	64	14.7	21.8	11.65	1.1707	0.05	686	1	100.0	30
29/06/16	2:30 p	17.7	17.8	17.7	92	16.4	1.3	SW	2.41	3.1	SSW	17.7	18.2	18.2	---	755.5	0.00	0.0	100	4.30	109	0.8	0.17	0.9	0.013	0.000	21.8	64	14.7	21.8	11.65	1.1704	0.00	684	1	100.0	30
29/06/16	3:00 p	17.7	17.8	17.7	92	16.4	1.3	SW	2.41	3.1	SW	17.7	18.2	18.2	---	755.5	0.00	0.0	85	3.66	93	0.6	0.13	0.7	0.014	0.000	21.8	64	14.7	21.8	11.65	1.1704	0.05	680	1	99.4	30
29/06/16	3:30 p	17.5	17.6	17.4	93	16.4	1.3	SW	2.41	3.1	SW	17.5	17.9	17.9	---	755.3	0.00	0.0	59	2.54	81	0.2	0.04	0.5	0.017	0.000	21.8	64	14.7	21.8	11.65	1.1701	0.00	682	1	99.7	30
29/06/16	4:00 p	17.3	17.5	17.3	94	16.4	0.9	SW	1.61	2.2	SW	17.3	17.8	17.8	---	755.2	0.00	0.0	38	1.63	46	0.0	0.00	0.0	0.021	0.000	22.1	64	15.0	22.2	11.65	1.1685	0.03	681	1	99.6	30
29/06/16	4:30 p	17.3	17.3	17.3	94	16.4	0.4	SSW	0.80	1.8	SW	17.3	17.8	17.8	---	755.1	0.00	0.0	30	1.29	32	0.0	0.00	0.0	0.021	0.000	22.1	64	15.0	22.2	11.65	1.1684	0.00	681	1	99.6	30
29/06/16	5:00 p	17.4	17.5	17.3	94	16.4	0.4	SW	0.80	1.8	SW	17.4	17.8	17.8	---	755.3	0.00	0.0	19	0.82	30	0.0	0.00	0.0	0.020	0.000	22.2	64	15.1	22.3	11.65	1.1681	0.03	684	1	100.0	30
29/06/16	5:30 p	17.2	17.4	17.2	94	16.2	0.4	SW	0.80	1.8	SW	17.2	17.7	17.7	---	755.5	0.00	0.0	7	0.30	12	0.0	0.00	0.0	0.023	0.000	22.4	63	15.1	22.6	11.50	1.1676	0.00	676	1	98.8	30
29/06/16	6:00 p	17.2	17.2	17.2	94	16.2	0.0	SW	0.00	1.3	SSW	17.2	17.6	17.6	---	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.024	0.000	22.3	63	14.9	22.4	11.51	1.1684	0.00	654	1	95.6	30
29/06/16	6:30 p	17.1	17.2	17.1	95	16.3	0.0	SSW	0.00	1.8	SSW	17.1	17.6	17.6	---	755.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.025	0.000	21.9	64	14.8	21.9	11.65	1.1704	0.00	689	1	100.0	30
29/06/16	7:00 p	17.2	17.2	17.1	95	16.4	0.0	S	0.00	0.9	S	17.2	17.6	17.6	---	756.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.024	0.000	21.8	64	14.7	21.8	11.65	1.1715	0.00	696	1	100.0	30
29/06/16	7:30 p	17.2	17.2	17.2	95	16.4	0.0	WSW	0.00	0.9	WSW	17.2	17.6	17.6	---	756.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.024	0.000	21.8	64	14.7	21.7	11.65	1.1724	0.00	700	1	100.0	30
29/06/16	8:00 p	17.1	17.2	17.1	94	16.1	0.0	SSW	0.00	0.9	SSW	17.1	17.6	17.6	---	756.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.025	0.000	21.7	64	14.6	21.6	11.65	1.1733	0.00	673	1	98.4	30
29/06/16	8:30 p	17.2	17.2	17.1	94	16.2	0.0	SSW	0.00	0.9	SSW	17.2	17.6	17.6	---	757.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.024	0.000	21.7	64	14.6	21.6	11.65	1.1737	0.00	696	1	100.0	30
29/06/16	9:00 p	17.3	17.3	17.2	94	16.3	0.0	W	0.00	0.4	SSW	17.3	17.7	17.7	---	757.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.022	0.000	21.6	64	14.5	21.4	11.65	1.1745	0.00	697	1	100.0	30
29/06/16	9:30 p	17.3	17.3	17.3	94	16.3	0.0	WSW	0.00	0.4	W	17.3	17.7	17.7	---	757.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.022	0.000	21.6	64	14.5	21.4	11.65	1.1746	0.00	702	1	100.0	30
29/06/16	10:00 p	17.3	17.3	17.3	94	16.3	0.0	SSW	0.00	0.9	SSW	17.3	17.7	17.7	---	757.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.022	0.000	21.6	64	14.5	21.4	11.65	1.1748	0.00	697	1	100.0	30
29/06/16	10:30 p	17.2	17.3	17.2	94	16.2	0.0	SSW	0.00	1.3	SSW	17.2	17.7	17.7	---	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.023	0.000	21.4	64	14.3	21.3	11.65	1.1755	0.00	701	1	100.0	30
29/06/16	11:00 p	17.2	17.2	17.2	94	16.2	0.0	---	0.00	0.0	---	17.2	17.7	17.7	---	757.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.023	0.000	21.4	64	14.3	21.3	11.65	1.1754	0.00	699	1	100.0	30
29/06/16	11:30 p	17.1	17.2	17.1	94	16.1	0.0	SW	0.00	0.9	SW	17.1	17.6	17.6	---	757.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.025	0.000	21.4	64	14.3	21.3	11.65	1.1751	0.00	699	1	100.0	30
30/06/16	12:00 a	17.0	17.2	17.0	95	16.2	0.0	SW	0.00	0.4	SW	17.0	17.4	17.4	---	757.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.028	0.000	21.4	64	14.3	21.3	11.65	1.1749	0.00	698	1	100.0	30
30/06/16	12:30 a	17.0	17.0	16.9	95	16.2	0.0	---	0.00	0.0	---	17.0	17.4	17.4	---	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.028	0.000	21.4	64	14.3	21.3	11.65	1.1746	0.00	702	1	100.0	30
30/06/16	1:00 a	16.9	17.0	16.9	96	16.3	0.0	WNW	0.00	0.4	WNW	16.9	17.4	17.4	---	756.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	21.4	64	14.3	21.3	11.65	1.1745	0.00	698	1	100.0	30
30/06/16	1:30 a	16.9	16.9	16.9	96	16.3	0.0	SW	0.00	0.4	SW	16.9	17.4	17.4	---	756.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	21.4	64	14.3	21.2	11.65	1.1747	0.00	699	1	100.0	30
30/06/16	2:00 a	16.8	16.9	16.8	96	16.2	0.0	---	0.00	0.0	---	16.8	17.3	17.3	---	756.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.031	0.000	21.4	64	14.3	21.2	11.65	1.1746	0.00	698	1	100.0	30
30/06/16	2:30 a	16.8	16.8	16.8	96	16.1	0.0	---	0.00	0.0	---	16.8	17.2	17.2	---	756.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.032	0.000	21.4	64	14.3	21.2	11.65	1.1744	0.00	700	1	100.0	30
30/06/16	3:00 a	16.8	16.8	16.7	96	16.1	0.0	---	0.00	0.0	---	16.8	17.2	17.2	---	756.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.032	0.000	21.4	65	14.5	21.3	11.85	1.1740	0.00	696	1	100.0	30
30/06/16	3:30 a	16.6	16.8	16.6	97	16.1	0.0	E	0.00	0.4	E	16.6	17.0	17.0	---	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.036	0.000	21.4	64	14.3	21.2	11.65	1.1741	0.00	699	1	100.0	30
30/06/16	4:00 a	16.6	16.6	16.6	97	16.1	0.0	E	0.00	0.9	E	16.6	16.9	16.9	---	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.037	0.000	21.3	65	14.4	21.2	11.85	1.1742	0.00	696	1	100.0	30
30/06/16	4:30 a	16.6	16.6	16.5	96	15.9	0.0	E	0.00	0.4	E	16.6	16.9	16.9	---	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.037	0.000	21.3	65	14.4	21.2	11.85	1.1743	0.00	703	1	100.0	30
30/06/16	5:00 a	16.6	16.6	16.6	96	16.0	0.0	---	0.00	0.0	---	16.6	17.0	17.0	---	756.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.036	0.000	21.3	65	14.4	21.2	11.85	1.1745	0.00	696	1	100.0	30
30/06/16	5:30 a	16.7	16.8	16.6	96	16.1	0.0	ENE	0.00	0.9	E	16.7	17.1	17.1	---	756.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	21.3	65	14.4	21.2	11.85	1.1749	0.00	696	1	100.0	30
30/06/16	6:00 a	16.7	16.8	16.7	96	16.1	0.0	---	0.00	0.0	---	16.7	17.1	17.1	---	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	21.3	65	14.4	21.2	11.85	1.1752	0.00	696	1	100.0	30
30/06/16	6:30 a	16.7	16.8	16.7	96	16.1	0.0	---	0.00	0.0	---	16.7	17.1	17.1	---	757.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.034	0.000	21.3	65	14.4	21.2	11.85	1.1756	0.00	703	1	100.0	30
30/06/16	7:00 a	16.8	16.8	16.7	96	16.1	0.0	---	0.00	0.0	---	16.8	17.2	17.2	---	757.6	0.00	0.0	1	0.04	5	0.0	0.00	0.0	0.032	0.000	21.3	65	14.4	21.2	11.85	1.1762	0.00	697	1	100.0	30
30/06/16	7:30 a	16.8	16.8	16.8	96	16.1	0.0	---	0.00	0.0	---	16.8	17.2	17.2	---	757.9	0.00	0.0	11	0.47	18	0.0	0.00	0.0	0.032	0.000	21.3	65	14.4	21.2	11.85	1.1767	0.00	701	1	100.0	30
30/06/16	8:00 a	16.8	16.9	16.8	96	16.2	0.0	ENE	0.00	0.4	ENE	16.8	17.3	17.3	---	758.2	0.00	0.0	24	1.03	32	0.0	0.00	0.0	0.031	0.000	21.4	64	14.3	21.2	11.65	1.1770	0.00	689	1	100.0	30
30/06/16	8:30 a	17.2	17.2	16.8	95	16.4	0.0	---	0.00	0.0	---	17.2	17.6	17.6	---	758.5	0.00	0.0	43	1.85	53	0.0	0.00	0.0	0.024	0.000	21.4	64	14.3	21.2	11.65	1.1774	0.00	699	1	100.0	30
30/06/16	9:00 a	17.4	17.4	17.1	92	16.1	0.0	ENE	0.00	0.4	ENE	17.4	17.8	17.8	---	758.7	0.00	0.0	60	2.58	69	0.0	0.00	0.0	0.020	0.000	21.4	64	14.3	21.3	11.65	1.1775	0.03	697	1	100.0	30
30/06/16	9:30 a	17.8	17.8	17.4	90	16.1	0.0	WNW	0.00	0.9	W	17.8	18.2	18.2	---	758.7	0.00	0.0	75	3.23	77	0.4	0.09	0.5	0.012	0.000	21.6	64	14.5	21.4	11.65	1.1770	0.00	700	1	100.0	30
30/06/16	10:00 a	17.8	17.8	17.7	88	15.8	0.4	WSW	0.80	1.8	WSW	17.8	18.2	18.2	---	758.6	0.00	0.0	63	2.71	74	0.3	0.06	0.5	0.012	0.000	21.6	64	14.5	21.4	11.65	1.1768	0.05	695	1	100.0	30
30/06/16	10:30 a	17.9	17.9	17.8	87	15.7	0.0	SSW	0.00	1.3	WSW	17.9	18.3	18.3	---	758.6	0.00	0.0	59	2.54	65	0.3	0.06	0.5	0.009	0.000	21.4	64	14.3	21.3	11.65	1.1773	0.00	698	1	100.0	30
30/06/16	11:00 a	18.1	18.1	17.8	87	15.9	0.0	SW	0.00	1.8	S	18.1	18.6	18.6	---	758.2	0.00	0.0	110	4.73	156	0.9	0.19	1.3	0.005	0.000	21.7	64	14.6	21.6	11.65	1.1755	0.05	690	1	100.0	30
